Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,negative regulation of cell adhesion (GO:0007162),1/73,0.3068970331118836,0.3867528937685472,0,0,2.781705948372615,3.2858706369655613,PLXNB2
GO_Biological_Process_2021,regulation of actin filament-based process (GO:0032970),1/73,0.3068970331118836,0.3867528937685472,0,0,2.781705948372615,3.2858706369655613,IQGAP1
GO_Biological_Process_2021,endoplasmic reticulum organization (GO:0007029),1/73,0.3068970331118836,0.3867528937685472,0,0,2.781705948372615,3.2858706369655613,APP
GO_Biological_Process_2021,regulation of Rho protein signal transduction (GO:0035023),1/73,0.3068970331118836,0.3867528937685472,0,0,2.781705948372615,3.2858706369655613,APOA1
GO_Biological_Process_2021,positive regulation of JNK cascade (GO:0046330),1/73,0.3068970331118836,0.3867528937685472,0,0,2.781705948372615,3.2858706369655613,APP
GO_Biological_Process_2021,insulin receptor signaling pathway (GO:0008286),1/73,0.3068970331118836,0.3867528937685472,0,0,2.781705948372615,3.2858706369655613,IGF1R
GO_Biological_Process_2021,positive regulation of synaptic transmission (GO:0050806),1/73,0.3068970331118836,0.3867528937685472,0,0,2.781705948372615,3.2858706369655613,APP
GO_Biological_Process_2021,regulation of transcription by RNA polymerase II (GO:0006357),13/2206,0.3077473554428857,0.3873304295255683,0,0,1.2065086927580442,1.4218416674888317,DDX17;APP;JUND;ZBTB20;FOS;MLLT6;SIN3B;PAX8;CREB3L2;MYO6;FOSB;AGRN;OGT
GO_Biological_Process_2021,proteolysis involved in cellular protein catabolic process (GO:0051603),1/74,0.3103752378928968,0.3891506789824646,0,0,2.74346201743462,3.209777224050686,CTSL
GO_Biological_Process_2021,regulation of peptide hormone secretion (GO:0090276),1/74,0.3103752378928968,0.3891506789824646,0,0,2.74346201743462,3.209777224050686,PAX8
GO_Biological_Process_2021,regulation of stress fiber assembly (GO:0051492),1/74,0.3103752378928968,0.3891506789824646,0,0,2.74346201743462,3.209777224050686,APOA1
GO_Biological_Process_2021,regulation of apoptotic process (GO:0042981),5/742,0.3134551749524674,0.3924938325426128,0,0,1.3684924659001645,1.5875866204150444,SOCS2;ARHGEF12;PAX8;ALB;IGF1R
GO_Biological_Process_2021,positive regulation of immune response (GO:0050778),1/75,0.3138361616484454,0.3924938325426128,0,0,2.7062517062517064,3.1362323637249645,GRN
GO_Biological_Process_2021,actomyosin structure organization (GO:0031032),1/76,0.3172798893506643,0.3928227201484416,0,0,2.67003367003367,3.065121123308704,MYH9
GO_Biological_Process_2021,regulation of cell division (GO:0051302),1/76,0.3172798893506643,0.3928227201484416,0,0,2.67003367003367,3.065121123308704,TXNIP
GO_Biological_Process_2021,regulation of epithelial to mesenchymal transition (GO:0010717),1/76,0.3172798893506643,0.3928227201484416,0,0,2.67003367003367,3.065121123308704,DAG1
GO_Biological_Process_2021,regulation of RNA splicing (GO:0043484),1/76,0.3172798893506643,0.3928227201484416,0,0,2.67003367003367,3.065121123308704,MBNL2
GO_Biological_Process_2021,regulation of T cell proliferation (GO:0042129),1/76,0.3172798893506643,0.3928227201484416,0,0,2.67003367003367,3.065121123308704,SDC4
GO_Biological_Process_2021,positive regulation of interleukin-6 production (GO:0032755),1/76,0.3172798893506643,0.3928227201484416,0,0,2.67003367003367,3.065121123308704,APP
GO_Biological_Process_2021,RNA transport (GO:0050658),1/76,0.3172798893506643,0.3928227201484416,0,0,2.67003367003367,3.065121123308704,SRSF5
GO_Biological_Process_2021,water-soluble vitamin metabolic process (GO:0006767),1/76,0.3172798893506643,0.3928227201484416,0,0,2.67003367003367,3.065121123308704,CTRB1
GO_Biological_Process_2021,positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068),1/77,0.3207065055587057,0.3960725343650016,0,0,2.6347687400318978,2.996335121708695,IGF1R
GO_Biological_Process_2021,positive regulation of tumor necrosis factor production (GO:0032760),1/77,0.3207065055587057,0.3960725343650016,0,0,2.6347687400318978,2.996335121708695,APP
GO_Biological_Process_2021,apoptotic process (GO:0006915),2/231,0.3215064257532412,0.3965647298928867,0,0,1.753052312628108,1.9892546346084377,APP;OGT
GO_Biological_Process_2021,axon development (GO:0061564),1/79,0.3275087398015298,0.4024609887113327,0,0,2.566951566951567,2.865335397718705,APP
GO_Biological_Process_2021,negative regulation of NF-kappaB transcription factor activity (GO:0032088),1/79,0.3275087398015298,0.4024609887113327,0,0,2.566951566951567,2.865335397718705,ERBIN
GO_Biological_Process_2021,regulation of ion transport (GO:0043269),1/79,0.3275087398015298,0.4024609887113327,0,0,2.566951566951567,2.865335397718705,ATP1A1
GO_Biological_Process_2021,negative regulation of cell cycle (GO:0045786),1/80,0.3308845249727721,0.4045964241003698,0,0,2.534330648254699,2.8029337896230078,BTG2
GO_Biological_Process_2021,regulation of NIK/NF-kappaB signaling (GO:1901222),1/80,0.3308845249727721,0.4045964241003698,0,0,2.534330648254699,2.8029337896230078,APP
GO_Biological_Process_2021,response to interferon-gamma (GO:0034341),1/80,0.3308845249727721,0.4045964241003698,0,0,2.534330648254699,2.8029337896230078,IFITM3
GO_Biological_Process_2021,skin development (GO:0043588),1/80,0.3308845249727721,0.4045964241003698,0,0,2.534330648254699,2.8029337896230078,TXNIP
GO_Biological_Process_2021,positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557),1/81,0.3342435328543524,0.4081985296169347,0,0,2.5025252525252526,2.742480915944007,APP
GO_Biological_Process_2021,cell-cell junction organization (GO:0045216),1/82,0.3375858460637784,0.4117713776679173,0,0,2.471505175208879,2.6838950656014107,CADM1
GO_Biological_Process_2021,regulation of defense response (GO:0031347),1/83,0.3409115467213686,0.4142934909725856,0,0,2.4412416851441243,2.627098856469418,GRN
GO_Biological_Process_2021,positive regulation of plasma membrane bounded cell projection assembly (GO:0120034),1/83,0.3409115467213686,0.4142934909725856,0,0,2.4412416851441243,2.627098856469418,AGRN
GO_Biological_Process_2021,long-chain fatty acid metabolic process (GO:0001676),1/83,0.3409115467213686,0.4142934909725856,0,0,2.4412416851441243,2.627098856469418,CPT1A
GO_Biological_Process_2021,nuclear export (GO:0051168),1/84,0.3442207165268205,0.4167770440300229,0,0,2.4117074358038213,2.572018957842433,SRSF5
GO_Biological_Process_2021,response to insulin (GO:0032868),1/84,0.3442207165268205,0.4167770440300229,0,0,2.4117074358038213,2.572018957842433,OGT
GO_Biological_Process_2021,vascular transport (GO:0010232),1/84,0.3442207165268205,0.4167770440300229,0,0,2.4117074358038213,2.572018957842433,SLC6A6
GO_Biological_Process_2021,negative regulation of defense response (GO:0031348),1/85,0.3475134368660721,0.419735055774669,0,0,2.382876382876383,2.5185858334956643,APOA1
GO_Biological_Process_2021,"Wnt signaling pathway, planar cell polarity pathway (GO:0060071)",1/85,0.3475134368660721,0.419735055774669,0,0,2.382876382876383,2.5185858334956643,CELSR2
GO_Biological_Process_2021,negative regulation of cellular amide metabolic process (GO:0034249),1/86,0.3507897886854045,0.4200973469347632,0,0,2.354723707664884,2.46673350535558,BTG2
GO_Biological_Process_2021,regulation of neuron death (GO:1901214),1/86,0.3507897886854045,0.4200973469347632,0,0,2.354723707664884,2.46673350535558,FOS
GO_Biological_Process_2021,glucose homeostasis (GO:0042593),1/86,0.3507897886854045,0.4200973469347632,0,0,2.354723707664884,2.46673350535558,IGF1R
GO_Biological_Process_2021,positive regulation of endothelial cell migration (GO:0010595),1/86,0.3507897886854045,0.4200973469347632,0,0,2.354723707664884,2.46673350535558,GRN
GO_Biological_Process_2021,response to interleukin-1 (GO:0070555),1/86,0.3507897886854045,0.4200973469347632,0,0,2.354723707664884,2.46673350535558,APP
GO_Biological_Process_2021,positive regulation of proteasomal protein catabolic process (GO:1901800),1/86,0.3507897886854045,0.4200973469347632,0,0,2.354723707664884,2.46673350535558,TMEM259
GO_Biological_Process_2021,transport across blood-brain barrier (GO:0150104),1/86,0.3507897886854045,0.4200973469347632,0,0,2.354723707664884,2.46673350535558,SLC6A6
GO_Biological_Process_2021,regulation of establishment of planar polarity (GO:0090175),1/88,0.3572937084833981,0.4273682614789315,0,0,2.3003599210495764,2.367523811703655,CELSR2
GO_Biological_Process_2021,regulation of cation channel activity (GO:2001257),1/89,0.3605214364245345,0.4296684911790592,0,0,2.2741046831955924,2.32005037808893,APP
GO_Biological_Process_2021,regulation of endothelial cell migration (GO:0010594),1/89,0.3605214364245345,0.4296684911790592,0,0,2.2741046831955924,2.32005037808893,GRN
GO_Biological_Process_2021,post-Golgi vesicle-mediated transport (GO:0006892),1/89,0.3605214364245345,0.4296684911790592,0,0,2.2741046831955924,2.32005037808893,APP
GO_Biological_Process_2021,negative regulation of translation (GO:0017148),1/90,0.3637331156781473,0.4319330748677999,0,0,2.2484394506866416,2.273925239694265,BTG2
GO_Biological_Process_2021,positive regulation of binding (GO:0051099),1/90,0.3637331156781473,0.4319330748677999,0,0,2.2484394506866416,2.273925239694265,APP
GO_Biological_Process_2021,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),1/90,0.3637331156781473,0.4319330748677999,0,0,2.2484394506866416,2.273925239694265,RPL23A
GO_Biological_Process_2021,regulation of actin cytoskeleton organization (GO:0032956),1/91,0.3669288252624231,0.434683068776108,0,0,2.22334455667789,2.2290972080359737,IQGAP1
GO_Biological_Process_2021,positive regulation of supramolecular fiber organization (GO:1902905),1/91,0.3669288252624231,0.434683068776108,0,0,2.22334455667789,2.2290972080359737,APP
GO_Biological_Process_2021,regulation of peptidyl-tyrosine phosphorylation (GO:0050730),1/92,0.3701086437867988,0.4368702888063337,0,0,2.1988011988011986,2.185517547233266,APP
GO_Biological_Process_2021,positive regulation of cellular component biogenesis (GO:0044089),1/92,0.3701086437867988,0.4368702888063337,0,0,2.1988011988011986,2.185517547233266,SDC4
GO_Biological_Process_2021,Wnt signaling pathway (GO:0016055),1/92,0.3701086437867988,0.4368702888063337,0,0,2.1988011988011986,2.185517547233266,CELSR2
